Artist,Title,Folder,BPM,MusicKey,OpenKey,MixedInKey
"Sasha, Super Flu",Astra (Sasha's 'Daydream' Mix),MUSIC FILES 2024,125.0,Bm,3m,10A
Bjasic Food,Eldur,MUSIC FILES 2024,120.0,Em,2m,9A
Boris Brejcha,Everybody Wants To Go To Heaven (D-Nox & Beckers Remix),MUSIC FILES 2024,125.0,C,1d,8B
Butch,Shahrzad (Matthias Meyer Remix) ,MUSIC FILES 2024,123.18,Em,2m,9A
Eelke Kleijn,Time Machine,MUSIC FILES 2024,126.0,Gm,11m,6A
Electrypnose,Up To You,MUSIC FILES 2024,128.0,G,2d,9B
Fabian Krooss,Kallisto,MUSIC FILES 2024,119.0,G#m,6m,1A
Foremost Poets,Moonraker,MUSIC FILES 2024,128.09,Ab,9d,4B
Tinlicker,You Take My Hand ,MUSIC FILES 2024,121.01,Em,2m,9A
Kollektiv Turmstrasse,Sorry I Am Late,MUSIC FILES 2024,122.0,F#m,4m,11A
Mano Le Tough,As If To Say,MUSIC FILES 2024,124.0,Fm,9m,4A
Wigbert,Balance,MUSIC FILES 2024,122.0,Fm,9m,4A
Forteba,Pictograms,MUSIC FILES 2024,120.0,F,12d,7B
Matthias Meyer,Tout Va Bien,MUSIC FILES 2024,126.0,Gm,11m,6A
"Mind Against, CAY",FLORAL,MUSIC FILES 2024,124.0,Gm,11m,6A
Glenn Morrison,Hydrology,MUSIC FILES 2024,124.0,F#m,4m,11A
Paperclip People,Throw (Slam's RTM Remix),MUSIC FILES 2024,126.81,Em,2m,9A
Phoenix Movement,Intense,MUSIC FILES 2024,127.0,Fm,9m,4A
MegaMen,All I Need,MUSIC FILES 2024,120.0,Bbm,8m,3A
